rmse,mae,mape,mbe,r2,direction_accuracy,data_name
702353.8855332226,676489.9975210574,61.65571900287411,-676489.9975210574,-10.768040369301232,0.47540983606557374,hanwha_aerospace
636.3447205690086,595.6037204200703,37.355159030876294,563.1815851684348,-3.0326717808774513,0.38461538461538464,ia
57.82718614355054,54.8166161996347,29.97555116126842,-54.8166161996347,-8.86070796533102,0.4574468085106383,rtx
485202.2578041665,409451.0869565217,61.163655519860896,-409451.0869565217,-2.473773408909263,0.4371584699453552,sk_hynix
90.3390624141484,73.18460688515314,23.85210471166702,-70.06587784378617,-1.5096400920923587,0.4787234042553192,aerovironment
4.3317457630441805,3.8403703396913236,50.78083115711659,-3.8403703396913236,-3.672808244111243,0.5159574468085106,draganfly
28279.832063480662,27056.34274490346,48.6564151985741,-27056.34274490346,-12.431183260293857,0.5519125683060109,snt_dynamics
39.839467046718944,38.749394873422034,21.146269574011274,-38.749394873422034,-25.251850694066917,0.5,nvidia
295921.27523369103,270367.6046088967,48.464862122212715,-270367.6046088967,-4.704142141128944,0.5081967213114754,lig_nex1
76613.6446299108,60754.34782608696,42.65026451904745,-60754.34782608696,-1.6942802493954412,0.4426229508196721,samsung_electronics
2742.7371571858926,2221.2485561207664,39.700185209304486,-2221.2485561207664,-1.9058051243658003,0.5355191256830601,firstec
50051.657146913465,39194.836956521736,45.37189553850819,-38545.92391304348,-1.4575409137784074,0.4808743169398907,wonik_ips
22.37181232212958,14.499470911959492,62.660601636084834,-14.429841276829835,-0.712405847482332,0.4521276595744681,axt
3.9087763601958048,3.585992646697857,20.606614310650674,-3.5787348752857144,-5.182663736266674,0.48404255319148937,maxlinear
