Company,Model,rmse,mae,mape,mbe,r2,direction_accuracy
samsung_electronics,Benchmark,10085.1441030333,7807.894736842105,4.0926027603730795,-552.6315789473684,0.2964756331770819,0.4864864864864865
samsung_electronics,ARIMA,136717.90901245104,136188.15789473685,70.45326238838268,-136188.15789473685,-128.29024041051838,0.4864864864864865
samsung_electronics,Existing RF,12243.46883478727,10035.223182684766,5.171193454213912,-6881.42135303945,-0.036868994651610754,0.4864864864864865
samsung_electronics,Extended RF,12384.46377303152,10163.571345658014,5.224721496871903,-7598.428400719397,-0.060887523663274434,0.4864864864864865
samsung_electronics,Extended ANN,10080.602521452782,7805.9514088066,4.094914853616874,-313.5727720825296,0.29710911820321684,0.5135135135135135
samsung_electronics,Hybrid RF+NSI,12188.1649734904,9958.192987465547,5.123877962838199,-7250.190402656151,-0.027523056711233895,0.4864864864864865
sk_hynix,Benchmark,59728.332340778834,49368.42105263158,5.211689030989068,-6368.421052631579,0.39148627084421805,0.4594594594594595
sk_hynix,ARIMA,757615.8848304122,753736.8421052631,78.27571193327918,-753736.8421052631,-96.90564811908718,0.4594594594594595
sk_hynix,Existing RF,67567.84407414304,56163.86230761033,5.814755177580479,-32749.93511643273,0.22126494206100167,0.4594594594594595
sk_hynix,Extended RF,63127.34255541812,52728.5261802721,5.501572524173002,-23015.30004232049,0.3202571974558267,0.4594594594594595
sk_hynix,Extended ANN,74981.96752897931,62652.817352821956,6.524494245807165,-36685.099272351516,0.04098970972485283,0.4864864864864865
sk_hynix,Hybrid RF+NSI,63466.071897991686,52976.278676857364,5.524015822613982,-24206.650076856313,0.3129428845431035,0.4594594594594595
wonik_ips,Benchmark,7808.143522192577,5734.210526315789,4.7276768700714715,-150.0,-0.3525673683376034,0.5405405405405406
wonik_ips,ARIMA,97987.39511945844,97757.17436860611,81.05050033801827,-97757.17436860611,-212.01184581650253,0.5405405405405406
wonik_ips,Existing RF,7590.8754233296895,5538.511528489305,4.5770962642011686,-81.0720199081709,-0.2783420022969585,0.5675675675675675
